codigo_comuna,codigo_distrito
15202,1
15202,2
15202,3
15202,4
15202,99
15201,1
15201,2
15201,3
15201,4
15201,5
15201,6
15201,7
15201,8
15201,99
15102,1
15102,2
15102,3
15102,4
15102,5
15101,1
15101,2
15101,3
15101,4
15101,5
15101,6
15101,7
15101,8
15101,9
15101,10
15101,11
15101,12
15101,13
15101,14
15101,15
15101,16
15101,17
15101,18
15101,19
15101,99
14204,1
14204,2
14204,3
14204,5
14204,6
14204,7
14204,8
14204,9
14204,10
14204,11
14204,99
14203,1
14203,2
14203,3
14203,4
14203,5
14203,99
14202,1
14202,2
14202,3
14202,4
14202,5
14202,6
14202,99
14201,1
14201,2
14201,3
14201,4
14201,5
14201,6
14201,7
14201,8
14201,9
14201,99
14108,1
14108,2
14108,3
14108,4
14108,5
14108,6
14108,7
14108,8
14108,9
14108,10
14108,11
14108,12
14108,99
14107,1
14107,2
14107,3
14107,4
14107,5
14107,99
14106,1
14106,2
14106,3
14106,4
14106,5
14106,6
14106,7
14106,99
14105,1
14105,2
14105,3
14105,4
14105,5
14105,99
14104,1
14104,2
14104,3
14104,4
14104,5
14104,6
14104,7
14104,10
14104,12
14104,99
14103,1
14103,2
14103,3
14103,4
14103,5
14103,6
14103,7
14103,99
14102,1
14102,2
14102,3
14102,4
14102,99
14101,1
14101,2
14101,3
14101,4
14101,5
14101,6
14101,7
14101,8
14101,9
14101,10
14101,11
14101,12
14101,13
14101,14
14101,15
14101,16
14101,17
14101,18
14101,19
14101,99
13605,1
13605,2
13605,3
13605,99
13604,1
13604,2
13604,3
13604,4
13604,5
13604,99
13603,1
13603,2
13603,3
13603,4
13603,5
13603,99
13602,1
13602,2
13602,3
13602,99
13601,1
13601,2
13601,3
13601,4
13601,99
13505,1
13505,2
13505,3
13505,4
13505,5
13505,6
13505,99
13504,1
13504,2
13504,3
13504,4
13504,5
13504,99
13503,1
13503,2
13503,3
13503,4
13503,5
13503,6
13503,7
13503,8
13503,99
13502,1
13502,2
13502,3
13502,4
13502,5
13502,99
13501,1
13501,2
13501,3
13501,4
13501,5
13501,6
13501,7
13501,8
13501,9
13501,10
13501,11
13501,12
13501,13
13501,14
13501,15
13501,16
13501,17
13501,99
13404,1
13404,2
13404,3
13404,4
13404,5
13404,6
13404,7
13404,8
13404,9
13404,99
13403,1
13403,2
13403,3
13403,4
13403,5
13403,99
13402,1
13402,2
13402,3
13402,4
13402,5
13402,6
13402,99
13401,1
13401,2
13401,3
13401,4
13401,5
13401,6
13401,7
13401,8
13401,9
13401,10
13401,11
13401,12
13401,13
13401,14
13401,99
13303,1
13303,2
13303,3
13303,4
13303,5
13303,99
13302,1
13302,2
13302,3
13302,4
13302,5
13302,99
13301,1
13301,2
13301,3
13301,4
13301,5
13301,6
13301,99
13203,1
13203,2
13203,3
13203,4
13203,5
13203,6
13203,99
13202,1
13202,2
13202,3
13202,99
13201,1
13201,2
13201,3
13201,4
13201,5
13201,6
13201,7
13201,8
13201,9
13201,10
13201,11
13201,12
13201,13
13201,14
13201,15
13201,16
13201,17
13201,18
13201,19
13201,99
13132,1
13132,2
13132,3
13132,4
13132,5
13132,99
13131,1
13131,2
13131,3
13131,4
13131,5
13131,6
13131,7
13131,99
13130,1
13130,2
13130,3
13130,4
13130,5
13130,6
13130,7
13130,99
13129,1
13129,2
13129,3
13129,4
13129,5
13129,6
13129,7
13129,99
13128,1
13128,2
13128,3
13128,4
13128,5
13128,6
13128,7
13128,8
13128,9
13128,10
13128,99
13127,1
13127,2
13127,3
13127,4
13127,5
13127,6
13127,7
13127,8
13127,9
13127,10
13127,11
13127,12
13127,13
13127,99
13126,1
13126,2
13126,3
13126,4
13126,5
13126,6
13126,7
13126,8
13126,9
13126,99
13125,1
13125,2
13125,3
13125,4
13125,99
13124,1
13124,2
13124,3
13124,4
13124,5
13124,6
13124,7
13124,8
13124,9
13124,10
13124,99
13123,1
13123,2
13123,3
13123,4
13123,5
13123,6
13123,7
13123,8
13123,99
13122,1
13122,2
13122,3
13122,4
13122,5
13122,6
13122,7
13122,8
13122,9
13122,10
13122,11
13122,99
13121,1
13121,2
13121,3
13121,4
13121,5
13121,6
13121,7
13121,8
13121,99
13120,1
13120,2
13120,3
13120,4
13120,5
13120,6
13120,7
13120,8
13120,9
13120,10
13120,11
13120,99
13119,1
13119,2
13119,3
13119,4
13119,5
13119,6
13119,7
13119,8
13119,9
13119,10
13119,11
13119,12
13119,13
13119,14
13119,15
13119,16
13119,17
13119,18
13119,19
13119,20
13119,21
13119,22
13119,23
13119,99
13118,1
13118,2
13118,3
13118,4
13118,5
13118,6
13118,99
13117,1
13117,2
13117,3
13117,4
13117,5
13117,6
13117,7
13117,99
13116,1
13116,2
13116,3
13116,4
13116,5
13116,6
13116,7
13116,99
13115,1
13115,2
13115,3
13115,4
13115,99
13114,1
13114,2
13114,3
13114,4
13114,5
13114,6
13114,7
13114,8
13114,9
13114,10
13114,11
13114,12
13114,13
13114,14
13114,15
13114,16
13114,99
13113,1
13113,2
13113,3
13113,4
13113,5
13113,6
13113,7
13113,99
13112,1
13112,2
13112,3
13112,4
13112,5
13112,6
13112,7
13112,8
13112,99
13111,1
13111,2
13111,3
13111,4
13111,5
13111,6
13111,7
13111,8
13111,99
13110,1
13110,2
13110,3
13110,4
13110,5
13110,6
13110,7
13110,8
13110,9
13110,10
13110,11
13110,12
13110,13
13110,14
13110,15
13110,16
13110,17
13110,18
13110,19
13110,20
13110,21
13110,99
13109,1
13109,2
13109,3
13109,4
13109,5
13109,6
13109,99
13108,1
13108,2
13108,3
13108,4
13108,5
13108,6
13108,7
13108,99
13107,1
13107,2
13107,3
13107,4
13107,5
13107,6
13107,99
13106,1
13106,2
13106,3
13106,4
13106,5
13106,6
13106,7
13106,8
13106,9
13106,10
13106,11
13106,12
13106,13
13106,14
13106,99
13105,1
13105,2
13105,3
13105,4
13105,5
13105,6
13105,7
13105,8
13105,9
13105,10
13105,99
13104,1
13104,2
13104,3
13104,4
13104,5
13104,6
13104,7
13104,8
13104,9
13104,10
13104,99
13103,1
13103,2
13103,3
13103,4
13103,5
13103,6
13103,7
13103,8
13103,9
13103,99
13102,1
13102,2
13102,3
13102,4
13102,99
13101,1
13101,2
13101,3
13101,4
13101,5
13101,6
13101,7
13101,8
13101,9
13101,10
13101,11
13101,12
13101,13
13101,14
13101,15
13101,16
13101,17
13101,18
13101,19
13101,20
