codigo_provincia,codigo_comuna,comuna
151,15101,Arica
151,15102,Camarones
152,15201,Putre
152,15202,General Lagos
011,01101,Iquique
011,01107,Alto Hospicio
014,01401,Pozo Almonte
014,01402,Camiña
014,01403,Colchane
014,01404,Huara
014,01405,Pica
021,02101,Antofagasta
021,02102,Mejillones
021,02103,Sierra Gorda
021,02104,Taltal
022,02201,Calama
022,02202,Ollagüe
022,02203,San Pedro de Atacama
023,02301,Tocopilla
023,02302,María Elena
031,03101,Copiapó
031,03102,Caldera
031,03103,Tierra Amarilla
032,03201,Chañaral
032,03202,Diego de Almagro
033,03301,Vallenar
033,03302,Alto del Carmen
033,03303,Freirina
033,03304,Huasco
041,04101,La Serena
041,04102,Coquimbo
041,04103,Andacollo
041,04104,La Higuera
041,04105,Paiguano
041,04106,Vicuña
042,04201,Illapel
042,04202,Canela
042,04203,Los Vilos
042,04204,Salamanca
043,04301,Ovalle
043,04302,Combarbalá
043,04303,Monte Patria
043,04304,Punitaqui
043,04305,Río Hurtado
051,05101,Valparaíso
051,05102,Casablanca
051,05103,Concón
051,05104,Juan Fernández
051,05105,Puchuncaví
051,05107,Quintero
051,05109,Viña del Mar
052,05201,Isla de Pascua	
053,05301,Los Andes
053,05302,Calle Larga
053,05303,Rinconada
053,05304,San Esteban
054,05401,La Ligua
054,05402,Cabildo
054,05403,Papudo
054,05404,Petorca
054,05405,Zapallar
055,05501,Quillota
055,05502,Calera
055,05503,Hijuelas
055,05504,La Cruz
055,05506,Nogales
056,05601,San Antonio
056,05602,Algarrobo
056,05603,Cartagena
056,05604,El Quisco
056,05605,El Tabo
056,05606,Santo Domingo
057,05701,San Felipe
057,05702,Catemu
057,05703,Llaillay
057,05704,Panquehue
057,05705,Putaendo
057,05706,Santa María
058,05801,Quilpué
058,05802,Limache
058,05803,Olmué
058,05804,Villa Alemana
061,06101,Rancagua
061,06102,Codegua
061,06103,Coinco
061,06104,Coltauco
061,06105,Doñihue
061,06106,Graneros
061,06107,Las Cabras
061,06108,Machalí
061,06109,Malloa
061,06110,Mostazal
061,06111,Olivar
061,06112,Peumo
061,06113,Pichidegua
061,06114,Quinta de Tilcoco
061,06115,Rengo
061,06116,Requínoa
061,06117,San Vicente
062,06201,Pichilemu
062,06202,La Estrella
062,06203,Litueche
062,06204,Marchihue
062,06205,Navidad
062,06206,Paredones
063,06301,San Fernando
063,06302,Chépica
063,06303,Chimbarongo
063,06304,Lolol
063,06305,Nancagua
063,06306,Palmilla
063,06307,Peralillo
063,06308,Placilla
063,06309,Pumanque
063,06310,Santa Cruz
071,07101,Talca
071,07102,Constitución
071,07103,Curepto
071,07104,Empedrado
071,07105,Maule
071,07106,Pelarco
071,07107,Pencahue
