codigo,pais,codigo_grupo,grupo
604,Perú,604,Perú
170,Colombia,170,Colombia
862,Venezuela (República Bolivariana de),862,Venezuela (República Bolivariana de)
68,Bolivia (Estado Plurinacional de),68,Bolivia (Estado Plurinacional de)
32,Argentina,32,Argentina
332,Haití,332,Haití
218,Ecuador,218,Ecuador
5,Sudamérica,5,Sudamérica
76,Brasil,5,Sudámerica
600,Paraguay,5,Sudámerica
858,Uruguay5,Sudámerica
13,Centroamérica,13,Centroamérica
188,Costa Rica,13,Centroamérica
222,El Salvador,13,Centroamérica
320,Guatemala,13,Centroamérica
340,Honduras,13,Centroamérica
484,México,13,Centroamérica
558,Nicaragua,13,Centroamérica
591,Panamá,13,Centroamérica
29,Caribe,29,Caribe
192,Cuba,29,Caribe
630,Puerto Rico,29,Caribe
214,República Dominicana,29,Caribe
21,Norteamérica,21,Norteamérica
124,Canadá,21,Norteamérica
840,Estados Unidos de América,21,Norteamérica
150,Europa,150,Europa
40,Austria,150,Europa
56,Bélgica,150,Europa
100,Bulgaria,150,Europa
250,Francia,150,Europa
300,Grecia,150,Europa
380,Italia,150,Europa
620,Portugal,150,Europa
191,Croacia,150,Europa
372,Irlanda,150,Europa
642,Rumania,150,Europa
752,Suecia,150,Europa
203,República Checa,150,Europa
643,Rusia (Federación de),150,Europa
724,España,150,Europa
804,Ucrania,150,Europa
276,Alemania,150,Europa
246,Finlandia,150,Europa
616,Polonia,150,Europa
826,Reino Unido de Gran Bretaña e Irlanda del Norte,150,Europa
756,Suiza,150,Europa
208,Dinamarca,150,Europa
348,Hungría,150,Europa
578,Noruega,150,Europa
528,Países Bajos,150,Europa
688,Serbia,150,Europa
142,Asia,142,Asia
51,Armenia,142,Asia
410,Corea del Sur (República de),142,Asia
360,Indonesia,142,Asia
400,Jordania,142,Asia
760,República Árabe Siria,142,Asia
392,Japón,142,Asia
422,Líbano,142,Asia
792,Turquía,142,Asia
364,Irán (República Islámica de),142,Asia
524,Nepal,142,Asia
764,Tailandia,142,Asia
275,Palestina (Estado de),142,Asia
156,China,142,Asia
356,India,142,Asia
376,Israel,142,Asia
586,Pakistán,142,Asia
608,Filipinas,142,Asia
158,Taiwán (Provincia de China),142,Asia
2,África,2,África
12,Argelia,2,África
710,Sudáfrica,2,África
504,Marruecos,2,África
818,Egipto,2,África
9,Oceanía,9,Oceanía
554,Nueva Zelandia,9,Oceanía
258,Polinesia Francesa,9,Oceanía
997,País no declarado,997,País no declarado
